Id,AC#,Artist,Title,Date,Medium,Dimensions,Category
2325,633773,"SHORT, Cynthia","Untitled [maquette]","c. 1983","mixed media","sculpture: 39.4 x 15.2 x 20.3 cm / 15 1/2"" x 6"" x 8""; base: 5.7 x 30.5 x 30.5 cm / 2 1/4"" x 12"" x 12""","mixed media"
2326,619914,"SHORTT, Terence Michael","Common Loon  102/950",n.d.,serigraph,"51.4 x 44.3 cm / 20 1/4"" x 17 7/16""","work on paper"
2327,619913,"SHORTT, Terence Michael","Snowy Owl",n.d.,serigraph,"51.5 x 43.9 cm / 20 1/4"" x 17 1/4""","work on paper"
2328,619835,"SIEGEN, August","Cairo by Moonlight",n.d.,"oil on canvas","95.3 x 134.6 cm / 37 1/2"" x 53""",painting
2329,625808,"SILTANEN-PICKERING, Donna J.","Motherhood  4/5",1978,print,"sight: 42.7 x 29.2 cm / 16 7/8"" x 11 1/2""","work on paper"
2330,661747,"SIMON [MISHIBINIJIMA], James","Dreamer's Rock",1991,"acrylic on canvas","117 x 238 cm / 46"" x 93 3/4""",painting
2331,658484,"SIMON [MISHIBINIJIMA], James","The Forest",n.d.,"acrylic on canvas","152.4 x 182.9 cm / 60"" x 72""",painting
2332,658485,"SIMON [MISHIBINIJIMA], James","The Gathering",1991,"acrylic on canvas","152.4 x 182.9 cm / 60"" x 72""",painting
2333,619885,"SIMPSON, F. May","Major-General Sir Isaac Brock, KC [President and Administrator of Upper Canada, 1811-12]",1912,plaster,"52.7 x 40.6 cm  / 20 3/4"" x 16""",bust
2334,661706,"SISLER, Rebecca","Sunrise Algoma, 1991 [maquette]",n.d.,"mixed media","12.6 x 91.1 x 30.4 cm / 5"" x 35 7/8"" x 12""","mixed media"
2335,637054,"SMALL / PRATT,","Violet Mist",n.d.,"acrylic on canvas","60 x 89 cm / 23 5/8"" x 35""",painting
2336,100336,"SMITH, Bruce","50 Scollard Street [Toronto]",n.d.,"oil on canvasboard","40.6 x 50.8 cm / 16"" x 20""; frame: 57 x 66 cm / 22 1/2"" x 26""",painting
2337,100337,"SMITH, Bruce","Artist's Landscape",n.d.,"oil on canvas","91.5 x 122 cm / 36"" x 48""; frame: 106.6 x 138.5 cm / 42 1/2"" x  54 1/2""",painting
2338,100332,"SMITH, Bruce","Evening Call",n.d.,"oil on masonite","61 x 91.4 cm / 24"" x 36""; frame: 77.5 x 106.6 cm / 30 1/2"" x 42""",painting
2339,100334,"SMITH, Bruce","Flower Walk [Roches Point]",n.d.,"oil on canvas","76.1 x 106.6 cm / 30"" x 42""; frame: 91.4 x 120.5 cm / 36"" x 47 1/2""",painting
2340,100335,"SMITH, Bruce","Georgina Farm",n.d.,"oil on canvas","84 x 111.8 cm / 33"" x 44""; frame: 125.8 x 99 cm / 39"" x 49 1/2""",painting
2341,100214,"SMITH, Bruce","Keswick Farm","c. 2002","oil on board","image: 59.3 x 89.5 cm / 23 3/8"" x 35 1/4""; frame: 77 x 108 cm / 30 3/8"" x 42 1/2""",painting
2342,100338,"SMITH, Bruce","Malborough Studio [Toronto]",n.d.,"oil on masonite","61 x 76.3 cm / 24"" x 30""; frame: 77.5 x 90.2 cm / 30 1/2"" x 35""",painting
2343,100215,"SMITH, Bruce","Markham Landscape","c. 2002","oil on board","image: 53 x 59.3 cm / 20 7/8"" x 23 3/4""; frame: 67 x 77 cm / 26 3/8"" x 30 3/8""",painting
2344,100333,"SMITH, Bruce","Plums and Cherries",n.d.,"oil on masonite","76 x 91.5 cm / 30"" x 36""; frame: 92.7 x 106.7 cm / 36 1/2"" x 42""",painting
